curr1;curr2;rate;;;;;
AED;KMF;781;; ('AED', 'KMF', 781),;;;('AED', 'KMF', 781),
AED;KPW;125;; ('AED', 'KPW', 125),;;;('AED', 'KPW', 125),
AED;KRW;826;; ('AED', 'KRW', 826),;;;('AED', 'KRW', 826),
AED;KWD;197;; ('AED', 'KWD', 197),;;;('AED', 'KWD', 197),
AED;KYD;966;; ('AED', 'KYD', 966),;;;('AED', 'KYD', 966),
AED;KZT;475;; ('AED', 'KZT', 475),;;;('AED', 'KZT', 475),
AED;LAK;339;; ('AED', 'LAK', 339),;;;('AED', 'LAK', 339),
AED;LBP;945;; ('AED', 'LBP', 945),;;;('AED', 'LBP', 945),
AED;LKR;689;; ('AED', 'LKR', 689),;;;('AED', 'LKR', 689),
AED;LRD;575;; ('AED', 'LRD', 575),;;;('AED', 'LRD', 575),
AED;LSL;577;; ('AED', 'LSL', 577),;;;('AED', 'LSL', 577),
AED;LYD;746;; ('AED', 'LYD', 746),;;;('AED', 'LYD', 746),
AED;MAD;104;; ('AED', 'MAD', 104),;;;('AED', 'MAD', 104),
AED;MDL;813;; ('AED', 'MDL', 813),;;;('AED', 'MDL', 813),
AED;MGA;363;; ('AED', 'MGA', 363),;;;('AED', 'MGA', 363),
AED;MKD;888;; ('AED', 'MKD', 888),;;;('AED', 'MKD', 888),
AED;MMK;169;; ('AED', 'MMK', 169),;;;('AED', 'MMK', 169),
AED;MNT;217;; ('AED', 'MNT', 217),;;;('AED', 'MNT', 217),
AED;MOP;218;; ('AED', 'MOP', 218),;;;('AED', 'MOP', 218),
AED;MRU;152;; ('AED', 'MRU', 152),;;;('AED', 'MRU', 152),
AED;MUR;922;; ('AED', 'MUR', 922),;;;('AED', 'MUR', 922),
AED;MVR;330;; ('AED', 'MVR', 330),;;;('AED', 'MVR', 330),
AED;MWK;239;; ('AED', 'MWK', 239),;;;('AED', 'MWK', 239),
AED;MXN;401;; ('AED', 'MXN', 401),;;;('AED', 'MXN', 401),
AED;MXV;794;; ('AED', 'MXV', 794),;;;('AED', 'MXV', 794),
AED;MYR;831;; ('AED', 'MYR', 831),;;;('AED', 'MYR', 831),
AED;MZN;749;; ('AED', 'MZN', 749),;;;('AED', 'MZN', 749),
AED;NAD;284;; ('AED', 'NAD', 284),;;;('AED', 'NAD', 284),
AED;NGN;184;; ('AED', 'NGN', 184),;;;('AED', 'NGN', 184),
AED;NIO;870;; ('AED', 'NIO', 870),;;;('AED', 'NIO', 870),
AED;NOK;799;; ('AED', 'NOK', 799),;;;('AED', 'NOK', 799),
AED;NPR;674;; ('AED', 'NPR', 674),;;;('AED', 'NPR', 674),
AED;NZD;982;; ('AED', 'NZD', 982),;;;('AED', 'NZD', 982),
AED;OMR;292;; ('AED', 'OMR', 292),;;;('AED', 'OMR', 292),
AED;PAB;437;; ('AED', 'PAB', 437),;;;('AED', 'PAB', 437),
AED;PEN;407;; ('AED', 'PEN', 407),;;;('AED', 'PEN', 407),
AED;PGK;679;; ('AED', 'PGK', 679),;;;('AED', 'PGK', 679),
AED;PHP;51;; ('AED', 'PHP', 51),;;;('AED', 'PHP', 51),
AED;PKR;411;; ('AED', 'PKR', 411),;;;('AED', 'PKR', 411),
AED;PLN;563;; ('AED', 'PLN', 563),;;;('AED', 'PLN', 563),
AED;PYG;776;; ('AED', 'PYG', 776),;;;('AED', 'PYG', 776),
AED;QAR;34;; ('AED', 'QAR', 34),;;;('AED', 'QAR', 34),
AED;RON;428;; ('AED', 'RON', 428),;;;('AED', 'RON', 428),
AED;RSD;500;; ('AED', 'RSD', 500),;;;('AED', 'RSD', 500),
AED;CNY;417;; ('AED', 'CNY', 417),;;;('AED', 'CNY', 417),
AED;RUB;336;; ('AED', 'RUB', 336),;;;('AED', 'RUB', 336),
AED;RWF;466;; ('AED', 'RWF', 466),;;;('AED', 'RWF', 466),
AED;SAR;530;; ('AED', 'SAR', 530),;;;('AED', 'SAR', 530),
AED;SBD;905;; ('AED', 'SBD', 905),;;;('AED', 'SBD', 905),
AED;SCR;714;; ('AED', 'SCR', 714),;;;('AED', 'SCR', 714),
AED;SDG;676;; ('AED', 'SDG', 676),;;;('AED', 'SDG', 676),
AED;SEK;417;; ('AED', 'SEK', 417),;;;('AED', 'SEK', 417),
AED;SGD;927;; ('AED', 'SGD', 927),;;;('AED', 'SGD', 927),
AED;SHP;230;; ('AED', 'SHP', 230),;;;('AED', 'SHP', 230),
AED;SLE;393;; ('AED', 'SLE', 393),;;;('AED', 'SLE', 393),
AED;SLL;865;; ('AED', 'SLL', 865),;;;('AED', 'SLL', 865),
AED;SOS;905;; ('AED', 'SOS', 905),;;;('AED', 'SOS', 905),
AED;SRD;419;; ('AED', 'SRD', 419),;;;('AED', 'SRD', 419),
AED;SSP;519;; ('AED', 'SSP', 519),;;;('AED', 'SSP', 519),
AED;STN;102;; ('AED', 'STN', 102),;;;('AED', 'STN', 102),
AED;SVC;174;; ('AED', 'SVC', 174),;;;('AED', 'SVC', 174),
AED;SYP;484;; ('AED', 'SYP', 484),;;;('AED', 'SYP', 484),
AED;SZL;391;; ('AED', 'SZL', 391),;;;('AED', 'SZL', 391),
AED;THB;874;; ('AED', 'THB', 874),;;;('AED', 'THB', 874),
AED;TJS;95;; ('AED', 'TJS', 95),;;;('AED', 'TJS', 95),
AED;TMT;379;; ('AED', 'TMT', 379),;;;('AED', 'TMT', 379),
AED;TND;448;; ('AED', 'TND', 448),;;;('AED', 'TND', 448),
AED;TOP;55;; ('AED', 'TOP', 55),;;;('AED', 'TOP', 55),
AED;TRY;613;; ('AED', 'TRY', 613),;;;('AED', 'TRY', 613),
AED;TTD;246;; ('AED', 'TTD', 246),;;;('AED', 'TTD', 246),
AED;TWD;64;; ('AED', 'TWD', 64),;;;('AED', 'TWD', 64),
AED;TZS;614;; ('AED', 'TZS', 614),;;;('AED', 'TZS', 614),
AED;UAH;413;; ('AED', 'UAH', 413),;;;('AED', 'UAH', 413),
AED;UGX;620;; ('AED', 'UGX', 620),;;;('AED', 'UGX', 620),
AED;USD;8;; ('AED', 'USD', 8),;;;('AED', 'USD', 8),
AED;USN;852;; ('AED', 'USN', 852),;;;('AED', 'USN', 852),
AED;UYI;95;; ('AED', 'UYI', 95),;;;('AED', 'UYI', 95),
AED;UYU;41;; ('AED', 'UYU', 41),;;;('AED', 'UYU', 41),
AED;UYW;107;; ('AED', 'UYW', 107),;;;('AED', 'UYW', 107),
AED;UZS;278;; ('AED', 'UZS', 278),;;;('AED', 'UZS', 278),
AED;VED;740;; ('AED', 'VED', 740),;;;('AED', 'VED', 740),
AED;VES;892;; ('AED', 'VES', 892),;;;('AED', 'VES', 892),
AED;VND;887;; ('AED', 'VND', 887),;;;('AED', 'VND', 887),
AED;VUV;662;; ('AED', 'VUV', 662),;;;('AED', 'VUV', 662),
AED;WST;663;; ('AED', 'WST', 663),;;;('AED', 'WST', 663),
AED;XAF;509;; ('AED', 'XAF', 509),;;;('AED', 'XAF', 509),
AED;XAG;264;; ('AED', 'XAG', 264),;;;('AED', 'XAG', 264),
AED;XAU;117;; ('AED', 'XAU', 117),;;;('AED', 'XAU', 117),
AED;XBA;233;; ('AED', 'XBA', 233),;;;('AED', 'XBA', 233),
AED;XBB;196;; ('AED', 'XBB', 196),;;;('AED', 'XBB', 196),
AED;XBC;82;; ('AED', 'XBC', 82),;;;('AED', 'XBC', 82),
AED;XBD;182;; ('AED', 'XBD', 182),;;;('AED', 'XBD', 182),
AED;XCD;356;; ('AED', 'XCD', 356),;;;('AED', 'XCD', 356),
AED;XDR;464;; ('AED', 'XDR', 464),;;;('AED', 'XDR', 464),
AED;XOF;564;; ('AED', 'XOF', 564),;;;('AED', 'XOF', 564),
AED;XPD;148;; ('AED', 'XPD', 148),;;;('AED', 'XPD', 148),
AED;XPF;918;; ('AED', 'XPF', 918),;;;('AED', 'XPF', 918),
AED;XPT;730;; ('AED', 'XPT', 730),;;;('AED', 'XPT', 730),
AED;XSU;443;; ('AED', 'XSU', 443),;;;('AED', 'XSU', 443),
AED;XTS;318;; ('AED', 'XTS', 318),;;;('AED', 'XTS', 318),
AED;XUA;744;; ('AED', 'XUA', 744),;;;('AED', 'XUA', 744),
AED;XXX;465;; ('AED', 'XXX', 465),;;;('AED', 'XXX', 465),
AED;YER;391;; ('AED', 'YER', 391),;;;('AED', 'YER', 391),
AED;ZAR;839;; ('AED', 'ZAR', 839),;;;('AED', 'ZAR', 839),
AED;ZMW;768;; ('AED', 'ZMW', 768),;;;('AED', 'ZMW', 768),
AED;ZWL;342;; ('AED', 'ZWL', 342),;;;('AED', 'ZWL', 342),
AFN;AED;0.05;; ('AFN', 'AED', 0.05),;;;('AFN', 'AED', 0.05),
AFN;AFN;1;; ('AFN', 'AFN', 1),;;;('AFN', 'AFN', 1),
AFN;ALL;262;; ('AFN', 'ALL', 262),;;;('AFN', 'ALL', 262),
AFN;AMD;461;; ('AFN', 'AMD', 461),;;;('AFN', 'AMD', 461),
AFN;ANG;410;; ('AFN', 'ANG', 410),;;;('AFN', 'ANG', 410),
AFN;AOA;390;; ('AFN', 'AOA', 390),;;;('AFN', 'AOA', 390),
AFN;ARS;82;; ('AFN', 'ARS', 82),;;;('AFN', 'ARS', 82),
AFN;AUD;13;; ('AFN', 'AUD', 13),;;;('AFN', 'AUD', 13),
AFN;AWG;988;; ('AFN', 'AWG', 988),;;;('AFN', 'AWG', 988),
AFN;AZN;699;; ('AFN', 'AZN', 699),;;;('AFN', 'AZN', 699),
AFN;BAM;211;; ('AFN', 'BAM', 211),;;;('AFN', 'BAM', 211),
AFN;BBD;184;; ('AFN', 'BBD', 184),;;;('AFN', 'BBD', 184),
AFN;BDT;750;; ('AFN', 'BDT', 750),;;;('AFN', 'BDT', 750),
AFN;BGN;535;; ('AFN', 'BGN', 535),;;;('AFN', 'BGN', 535),
AFN;BHD;496;; ('AFN', 'BHD', 496),;;;('AFN', 'BHD', 496),
AFN;BIF;571;; ('AFN', 'BIF', 571),;;;('AFN', 'BIF', 571),
AFN;BMD;18;; ('AFN', 'BMD', 18),;;;('AFN', 'BMD', 18),
AFN;BND;213;; ('AFN', 'BND', 213),;;;('AFN', 'BND', 213),
AFN;BOB;318;; ('AFN', 'BOB', 318),;;;('AFN', 'BOB', 318),
AFN;BOV;792;; ('AFN', 'BOV', 792),;;;('AFN', 'BOV', 792),
AFN;BRL;97;; ('AFN', 'BRL', 97),;;;('AFN', 'BRL', 97),
AFN;BSD;307;; ('AFN', 'BSD', 307),;;;('AFN', 'BSD', 307),
AFN;BTN;558;; ('AFN', 'BTN', 558),;;;('AFN', 'BTN', 558),
AFN;BWP;13;; ('AFN', 'BWP', 13),;;;('AFN', 'BWP', 13),
AFN;BYN;354;; ('AFN', 'BYN', 354),;;;('AFN', 'BYN', 354),
AFN;BZD;252;; ('AFN', 'BZD', 252),;;;('AFN', 'BZD', 252),
AFN;CAD;15;; ('AFN', 'CAD', 15),;;;('AFN', 'CAD', 15),
AFN;CDF;152;; ('AFN', 'CDF', 152),;;;('AFN', 'CDF', 152),
AFN;CHE;188;; ('AFN', 'CHE', 188),;;;('AFN', 'CHE', 188),
AFN;CHF;691;; ('AFN', 'CHF', 691),;;;('AFN', 'CHF', 691),
AFN;CHW;82;; ('AFN', 'CHW', 82),;;;('AFN', 'CHW', 82),
AFN;CLF;408;; ('AFN', 'CLF', 408),;;;('AFN', 'CLF', 408),
AFN;CLP;222;; ('AFN', 'CLP', 222),;;;('AFN', 'CLP', 222),
AFN;COP;308;; ('AFN', 'COP', 308),;;;('AFN', 'COP', 308),
AFN;COU;497;; ('AFN', 'COU', 497),;;;('AFN', 'COU', 497),
AFN;CRC;339;; ('AFN', 'CRC', 339),;;;('AFN', 'CRC', 339),
AFN;CUP;102;; ('AFN', 'CUP', 102),;;;('AFN', 'CUP', 102),
AFN;CVE;156;; ('AFN', 'CVE', 156),;;;('AFN', 'CVE', 156),
AFN;CZK;716;; ('AFN', 'CZK', 716),;;;('AFN', 'CZK', 716),
AFN;DJF;462;; ('AFN', 'DJF', 462),;;;('AFN', 'DJF', 462),
AFN;DKK;965;; ('AFN', 'DKK', 965),;;;('AFN', 'DKK', 965),
AFN;DOP;752;; ('AFN', 'DOP', 752),;;;('AFN', 'DOP', 752),
AFN;DZD;549;; ('AFN', 'DZD', 549),;;;('AFN', 'DZD', 549),
AFN;EGP;428;; ('AFN', 'EGP', 428),;;;('AFN', 'EGP', 428),
AFN;ERN;493;; ('AFN', 'ERN', 493),;;;('AFN', 'ERN', 493),
AFN;ETB;712;; ('AFN', 'ETB', 712),;;;('AFN', 'ETB', 712),
AFN;EUR;424;; ('AFN', 'EUR', 424),;;;('AFN', 'EUR', 424),
AFN;FJD;590;; ('AFN', 'FJD', 590),;;;('AFN', 'FJD', 590),
AFN;FKP;779;; ('AFN', 'FKP', 779),;;;('AFN', 'FKP', 779),
AFN;GBP;368;; ('AFN', 'GBP', 368),;;;('AFN', 'GBP', 368),
AFN;GEL;462;; ('AFN', 'GEL', 462),;;;('AFN', 'GEL', 462),
AFN;GHS;211;; ('AFN', 'GHS', 211),;;;('AFN', 'GHS', 211),
AFN;GIP;621;; ('AFN', 'GIP', 621),;;;('AFN', 'GIP', 621),
AFN;GMD;600;; ('AFN', 'GMD', 600),;;;('AFN', 'GMD', 600),
AFN;GNF;494;; ('AFN', 'GNF', 494),;;;('AFN', 'GNF', 494),
AFN;GTQ;509;; ('AFN', 'GTQ', 509),;;;('AFN', 'GTQ', 509),
AFN;GYD;995;; ('AFN', 'GYD', 995),;;;('AFN', 'GYD', 995),
AFN;HKD;211;; ('AFN', 'HKD', 211),;;;('AFN', 'HKD', 211),
AFN;HNL;182;; ('AFN', 'HNL', 182),;;;('AFN', 'HNL', 182),
AFN;HTG;89;; ('AFN', 'HTG', 89),;;;('AFN', 'HTG', 89),
AFN;HUF;635;; ('AFN', 'HUF', 635),;;;('AFN', 'HUF', 635),
AFN;IDR;383;; ('AFN', 'IDR', 383),;;;('AFN', 'IDR', 383),
AFN;ILS;771;; ('AFN', 'ILS', 771),;;;('AFN', 'ILS', 771),
AFN;INR;650;; ('AFN', 'INR', 650),;;;('AFN', 'INR', 650),
AFN;IQD;52;; ('AFN', 'IQD', 52),;;;('AFN', 'IQD', 52),
AFN;IRR;115;; ('AFN', 'IRR', 115),;;;('AFN', 'IRR', 115),
AFN;ISK;638;; ('AFN', 'ISK', 638),;;;('AFN', 'ISK', 638),
AFN;JMD;223;; ('AFN', 'JMD', 223),;;;('AFN', 'JMD', 223),
AFN;JOD;74;; ('AFN', 'JOD', 74),;;;('AFN', 'JOD', 74),
AFN;JPY;333;; ('AFN', 'JPY', 333),;;;('AFN', 'JPY', 333),
AFN;KES;24;; ('AFN', 'KES', 24),;;;('AFN', 'KES', 24),
AFN;KGS;600;; ('AFN', 'KGS', 600),;;;('AFN', 'KGS', 600),
AFN;KHR;965;; ('AFN', 'KHR', 965),;;;('AFN', 'KHR', 965),
AFN;KMF;819;; ('AFN', 'KMF', 819),;;;('AFN', 'KMF', 819),
AFN;KPW;224;; ('AFN', 'KPW', 224),;;;('AFN', 'KPW', 224),
AFN;KRW;661;; ('AFN', 'KRW', 661),;;;('AFN', 'KRW', 661),
AFN;KWD;610;; ('AFN', 'KWD', 610),;;;('AFN', 'KWD', 610),
AFN;KYD;970;; ('AFN', 'KYD', 970),;;;('AFN', 'KYD', 970),
AFN;KZT;13;; ('AFN', 'KZT', 13),;;;('AFN', 'KZT', 13),
AFN;LAK;990;; ('AFN', 'LAK', 990),;;;('AFN', 'LAK', 990),
AFN;LBP;544;; ('AFN', 'LBP', 544),;;;('AFN', 'LBP', 544),
AFN;LKR;692;; ('AFN', 'LKR', 692),;;;('AFN', 'LKR', 692),
AFN;LRD;783;; ('AFN', 'LRD', 783),;;;('AFN', 'LRD', 783),
AFN;LSL;553;; ('AFN', 'LSL', 553),;;;('AFN', 'LSL', 553),
AFN;LYD;697;; ('AFN', 'LYD', 697),;;;('AFN', 'LYD', 697),
AFN;MAD;484;; ('AFN', 'MAD', 484),;;;('AFN', 'MAD', 484),
AFN;MDL;564;; ('AFN', 'MDL', 564),;;;('AFN', 'MDL', 564),
AFN;MGA;731;; ('AFN', 'MGA', 731),;;;('AFN', 'MGA', 731),
AFN;MKD;357;; ('AFN', 'MKD', 357),;;;('AFN', 'MKD', 357),
AFN;MMK;805;; ('AFN', 'MMK', 805),;;;('AFN', 'MMK', 805),
AFN;MNT;684;; ('AFN', 'MNT', 684),;;;('AFN', 'MNT', 684),
AFN;MOP;601;; ('AFN', 'MOP', 601),;;;('AFN', 'MOP', 601),
AFN;MRU;394;; ('AFN', 'MRU', 394),;;;('AFN', 'MRU', 394),
AFN;MUR;922;; ('AFN', 'MUR', 922),;;;('AFN', 'MUR', 922),
AFN;MVR;591;; ('AFN', 'MVR', 591),;;;('AFN', 'MVR', 591),
AFN;MWK;742;; ('AFN', 'MWK', 742),;;;('AFN', 'MWK', 742),
AFN;MXN;864;; ('AFN', 'MXN', 864),;;;('AFN', 'MXN', 864),
AFN;MXV;525;; ('AFN', 'MXV', 525),;;;('AFN', 'MXV', 525),
AFN;MYR;734;; ('AFN', 'MYR', 734),;;;('AFN', 'MYR', 734),
AFN;MZN;739;; ('AFN', 'MZN', 739),;;;('AFN', 'MZN', 739),
AFN;NAD;158;; ('AFN', 'NAD', 158),;;;('AFN', 'NAD', 158),
AFN;NGN;247;; ('AFN', 'NGN', 247),;;;('AFN', 'NGN', 247),
AFN;NIO;233;; ('AFN', 'NIO', 233),;;;('AFN', 'NIO', 233),
AFN;NOK;130;; ('AFN', 'NOK', 130),;;;('AFN', 'NOK', 130),
AFN;NPR;524;; ('AFN', 'NPR', 524),;;;('AFN', 'NPR', 524),
AFN;NZD;638;; ('AFN', 'NZD', 638),;;;('AFN', 'NZD', 638),
AFN;OMR;503;; ('AFN', 'OMR', 503),;;;('AFN', 'OMR', 503),
AFN;PAB;584;; ('AFN', 'PAB', 584),;;;('AFN', 'PAB', 584),
AFN;PEN;69;; ('AFN', 'PEN', 69),;;;('AFN', 'PEN', 69),
AFN;PGK;214;; ('AFN', 'PGK', 214),;;;('AFN', 'PGK', 214),
AFN;PHP;476;; ('AFN', 'PHP', 476),;;;('AFN', 'PHP', 476),
AFN;PKR;887;; ('AFN', 'PKR', 887),;;;('AFN', 'PKR', 887),
AFN;PLN;378;; ('AFN', 'PLN', 378),;;;('AFN', 'PLN', 378),
AFN;PYG;774;; ('AFN', 'PYG', 774),;;;('AFN', 'PYG', 774),
AFN;QAR;607;; ('AFN', 'QAR', 607),;;;('AFN', 'QAR', 607),
AFN;RON;57;; ('AFN', 'RON', 57),;;;('AFN', 'RON', 57),
AFN;RSD;296;; ('AFN', 'RSD', 296),;;;('AFN', 'RSD', 296),
AFN;CNY;409;; ('AFN', 'CNY', 409),;;;('AFN', 'CNY', 409),
AFN;RUB;37;; ('AFN', 'RUB', 37),;;;('AFN', 'RUB', 37),
AFN;RWF;72;; ('AFN', 'RWF', 72),;;;('AFN', 'RWF', 72),
AFN;SAR;359;; ('AFN', 'SAR', 359),;;;('AFN', 'SAR', 359),
AFN;SBD;970;; ('AFN', 'SBD', 970),;;;('AFN', 'SBD', 970),
AFN;SCR;543;; ('AFN', 'SCR', 543),;;;('AFN', 'SCR', 543),
AFN;SDG;209;; ('AFN', 'SDG', 209),;;;('AFN', 'SDG', 209),
AFN;SEK;953;; ('AFN', 'SEK', 953),;;;('AFN', 'SEK', 953),
AFN;SGD;770;; ('AFN', 'SGD', 770),;;;('AFN', 'SGD', 770),
AFN;SHP;532;; ('AFN', 'SHP', 532),;;;('AFN', 'SHP', 532),
AFN;SLE;422;; ('AFN', 'SLE', 422),;;;('AFN', 'SLE', 422),
AFN;SLL;807;; ('AFN', 'SLL', 807),;;;('AFN', 'SLL', 807),
AFN;SOS;895;; ('AFN', 'SOS', 895),;;;('AFN', 'SOS', 895),
AFN;SRD;507;; ('AFN', 'SRD', 507),;;;('AFN', 'SRD', 507),
AFN;SSP;881;; ('AFN', 'SSP', 881),;;;('AFN', 'SSP', 881),
AFN;STN;623;; ('AFN', 'STN', 623),;;;('AFN', 'STN', 623),
AFN;SVC;254;; ('AFN', 'SVC', 254),;;;('AFN', 'SVC', 254),
AFN;SYP;51;; ('AFN', 'SYP', 51),;;;('AFN', 'SYP', 51),
AFN;SZL;651;; ('AFN', 'SZL', 651),;;;('AFN', 'SZL', 651),
AFN;THB;214;; ('AFN', 'THB', 214),;;;('AFN', 'THB', 214),
AFN;TJS;161;; ('AFN', 'TJS', 161),;;;('AFN', 'TJS', 161),
AFN;TMT;468;; ('AFN', 'TMT', 468),;;;('AFN', 'TMT', 468),
AFN;TND;668;; ('AFN', 'TND', 668),;;;('AFN', 'TND', 668),
AFN;TOP;149;; ('AFN', 'TOP', 149),;;;('AFN', 'TOP', 149),
AFN;TRY;343;; ('AFN', 'TRY', 343),;;;('AFN', 'TRY', 343),
AFN;TTD;627;; ('AFN', 'TTD', 627),;;;('AFN', 'TTD', 627),
AFN;TWD;811;; ('AFN', 'TWD', 811),;;;('AFN', 'TWD', 811),
AFN;TZS;67;; ('AFN', 'TZS', 67),;;;('AFN', 'TZS', 67),
AFN;UAH;314;; ('AFN', 'UAH', 314),;;;('AFN', 'UAH', 314),
AFN;UGX;35;; ('AFN', 'UGX', 35),;;;('AFN', 'UGX', 35),
AFN;USD;558;; ('AFN', 'USD', 558),;;;('AFN', 'USD', 558),
AFN;USN;926;; ('AFN', 'USN', 926),;;;('AFN', 'USN', 926),
AFN;UYI;626;; ('AFN', 'UYI', 626),;;;('AFN', 'UYI', 626),
AFN;UYU;330;; ('AFN', 'UYU', 330),;;;('AFN', 'UYU', 330),
